scenario_id,title,description,target_context,cue_type,activity_domain,modality_required,alignment,evidence_status,scenario_action,answer_key_action,severity,issue_types,what_works,what_doesnt,gap_analysis,overlap_with,recommended_changes
sc-12,Living Room Room Shift,Current-context spatial shift scenario in living room where Turn 2 should pivot to the newly active referent.,current,spatial_shift,home_living,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,turn_2_too_open_ended,This scenario uses a recognizable current-context shape in living room and captures a real reference-carryover failure mode that a wearable assistant can hit.,Turn 2 is broad enough that multiple reasonable answers could pass without proving the intended context selection.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-13,Retail Room Shift,Current-context spatial shift scenario in retail where Turn 2 should pivot to the newly active referent.,current,spatial_shift,retail,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in retail and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-14,Workshop Room Shift,Current-context spatial shift scenario in workshop where Turn 2 should pivot to the newly active referent.,current,spatial_shift,workshop,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in workshop and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-15,Kitchen Object Swap,Current-context object shift scenario in kitchen where Turn 2 should pivot to the newly active referent.,current,object_shift,home_kitchen,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in kitchen and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-16,Home Office Object Swap,Current-context object shift scenario in home office where Turn 2 should pivot to the newly active referent.,current,object_shift,home_office,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in home office and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-17,Gym Object Swap,Current-context object shift scenario in gym where Turn 2 should pivot to the newly active referent.,current,object_shift,gym,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in gym and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-18,Kitchen State Change,Current-context temporal state scenario in kitchen where Turn 2 should pivot to the newly active referent.,current,temporal_state,home_kitchen,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in kitchen and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-19,Yard State Change,Current-context temporal state scenario in yard where Turn 2 should pivot to the newly active referent.,current,temporal_state,outdoor_yard,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in yard and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-20,Retail Object Swap,Current-context object shift scenario in retail where Turn 2 should pivot to the newly active referent.,current,object_shift,retail,text_sufficient,core-aligned,answerable-from-release,keep,rewrite,medium,answer_key_misaligned|answer_key_too_generic,This scenario uses a recognizable current-context shape in retail and captures a real reference-carryover failure mode that a wearable assistant can hit.,The answer key rewards vague pivot language rather than a substantively correct answer to the user’s question.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-21,Screen Deictic Reference,Current-context verbal deictic scenario in screen where Turn 2 should pivot to the newly active referent.,current,verbal_deictic,screen_only,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,repair_anchor_leak,This scenario uses a recognizable current-context shape in screen and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-22,Workshop Deictic Reference,Current-context verbal deictic scenario in workshop where Turn 2 should pivot to the newly active referent.,current,verbal_deictic,workshop,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in workshop and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-23,Vehicle Blended Shift,Current-context blended scenario in vehicle where Turn 2 should pivot to the newly active referent.,current,blended,vehicle_cabin,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in vehicle and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-25,Bedroom Room Shift,Prior-context spatial shift scenario in bedroom where Turn 2 should reach back to an earlier referent.,prior,spatial_shift,home_bedroom,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,text_recall_too_easy,This scenario uses a recognizable prior-context shape in bedroom and captures a real reference-carryover failure mode that a wearable assistant can hit.,"The answer is recoverable as direct Turn 1 text recall, so the context shift adds little real reference-resolution pressure.","This case fits the benchmark theme, but the released wording makes it closer to a short-term memory quiz than a strong situational reference test.",,Keep the scenario and answer keys as-is.
sc-26,Garage Object Swap,Prior-context object shift scenario in garage where Turn 2 should reach back to an earlier referent.,prior,object_shift,garage,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,text_recall_too_easy,This scenario uses a recognizable prior-context shape in garage and captures a real reference-carryover failure mode that a wearable assistant can hit.,"The answer is recoverable as direct Turn 1 text recall, so the context shift adds little real reference-resolution pressure.","This case fits the benchmark theme, but the released wording makes it closer to a short-term memory quiz than a strong situational reference test.",,Keep the scenario and answer keys as-is.
sc-27,Retail Object Swap,Prior-context object shift scenario in retail where Turn 2 should reach back to an earlier referent.,prior,object_shift,retail,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,text_recall_too_easy,This scenario uses a recognizable prior-context shape in retail and captures a real reference-carryover failure mode that a wearable assistant can hit.,"The answer is recoverable as direct Turn 1 text recall, so the context shift adds little real reference-resolution pressure.","This case fits the benchmark theme, but the released wording makes it closer to a short-term memory quiz than a strong situational reference test.",,Keep the scenario and answer keys as-is.
sc-30,Social Departure Recall,Prior-context object departure scenario in social where Turn 2 should reach back to an earlier referent.,prior,object_departure,social_gathering,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable prior-context shape in social and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-32,Home Office Blended Shift,Prior-context blended scenario in home office where Turn 2 should reach back to an earlier referent.,prior,blended,home_office,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable prior-context shape in home office and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-33,Garage Room Shift,Auxiliary clarify spatial shift scenario in garage where the released inputs leave Turn 2 under-specified.,clarify,spatial_shift,garage,text_sufficient,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in garage and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-34,Kitchen Object Swap,Auxiliary clarify object shift scenario in kitchen where the released inputs leave Turn 2 under-specified.,clarify,object_shift,home_kitchen,text_sufficient,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in kitchen and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-35,Living Room Deictic Reference,Auxiliary clarify verbal deictic scenario in living room where the released inputs leave Turn 2 under-specified.,clarify,verbal_deictic,home_living,text_sufficient,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in living room and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-36,Yard Departure Recall,Auxiliary clarify object departure scenario in yard where the released inputs leave Turn 2 under-specified.,clarify,object_departure,outdoor_yard,text_sufficient,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in yard and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-37,Social Deictic Reference,Auxiliary clarify verbal deictic scenario in social where the released inputs leave Turn 2 under-specified.,clarify,verbal_deictic,social_gathering,text_sufficient,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in social and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-38,Bedroom Deictic Reference,Auxiliary abstain verbal deictic scenario in bedroom where the released inputs do not support a grounded answer.,abstain,verbal_deictic,home_bedroom,visual_required,auxiliary-aligned,unanswerable-by-design,keep,keep,medium,clarify_vs_abstain_blur,This auxiliary scenario draws a clear boundary case in bedroom and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-39,Home Office Deictic Reference,Auxiliary abstain verbal deictic scenario in home office where the released inputs do not support a grounded answer.,abstain,verbal_deictic,home_office,visual_required,auxiliary-aligned,unanswerable-by-design,keep,keep,medium,clarify_vs_abstain_blur,This auxiliary scenario draws a clear boundary case in home office and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-40,Library Return Recall,Auxiliary abstain object return scenario in library where the released inputs do not support a grounded answer.,abstain,object_return,library,text_sufficient,auxiliary-aligned,unanswerable-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in library and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-41,Vehicle Deictic Reference,Auxiliary abstain verbal deictic scenario in vehicle where the released inputs do not support a grounded answer.,abstain,verbal_deictic,vehicle_cabin,visual_required,auxiliary-aligned,unanswerable-by-design,keep,keep,medium,clarify_vs_abstain_blur,This auxiliary scenario draws a clear boundary case in vehicle and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-42,Vehicle Room Shift,Current-context spatial shift scenario in vehicle where Turn 2 should pivot to the newly active referent.,current,spatial_shift,vehicle_cabin,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,turn_2_too_open_ended,This scenario uses a recognizable current-context shape in vehicle and captures a real reference-carryover failure mode that a wearable assistant can hit.,Turn 2 is broad enough that multiple reasonable answers could pass without proving the intended context selection.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-43,Living Room Room Shift,Current-context spatial shift scenario in living room where Turn 2 should pivot to the newly active referent.,current,spatial_shift,home_living,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,turn_2_too_open_ended,This scenario uses a recognizable current-context shape in living room and captures a real reference-carryover failure mode that a wearable assistant can hit.,Turn 2 is broad enough that multiple reasonable answers could pass without proving the intended context selection.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-44,Gym Room Shift,Current-context spatial shift scenario in gym where Turn 2 should pivot to the newly active referent.,current,spatial_shift,gym,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,turn_2_too_open_ended,This scenario uses a recognizable current-context shape in gym and captures a real reference-carryover failure mode that a wearable assistant can hit.,Turn 2 is broad enough that multiple reasonable answers could pass without proving the intended context selection.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-45,Warehouse Object Swap,Current-context object shift scenario in warehouse where Turn 2 should pivot to the newly active referent.,current,object_shift,warehouse,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in warehouse and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-46,Yard Object Swap,Current-context object shift scenario in yard where Turn 2 should pivot to the newly active referent.,current,object_shift,outdoor_yard,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in yard and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-47,Home Office Object Swap,Current-context object shift scenario in home office where Turn 2 should pivot to the newly active referent.,current,object_shift,home_office,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in home office and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-48,Yard State Change,Current-context temporal state scenario in yard where Turn 2 should pivot to the newly active referent.,current,temporal_state,outdoor_yard,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in yard and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-49,Kitchen State Change,Current-context temporal state scenario in kitchen where Turn 2 should pivot to the newly active referent.,current,temporal_state,home_kitchen,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in kitchen and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-50,Home Office State Change,Current-context temporal state scenario in home office where Turn 2 should pivot to the newly active referent.,current,temporal_state,home_office,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in home office and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-51,Yard Departure Recall,Current-context object departure scenario in yard where Turn 2 should pivot to the newly active referent.,current,object_departure,outdoor_yard,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in yard and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-53,Retail Return Recall,Current-context object return scenario in retail where Turn 2 should pivot to the newly active referent.,current,object_return,retail,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in retail and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-54,Vehicle Deictic Reference,Current-context verbal deictic scenario in vehicle where Turn 2 should pivot to the newly active referent.,current,verbal_deictic,vehicle_cabin,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in vehicle and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-55,Screen Deictic Reference,Current-context verbal deictic scenario in screen where Turn 2 should pivot to the newly active referent.,current,verbal_deictic,screen_only,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in screen and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-56,Social Deictic Reference,Current-context verbal deictic scenario in social where Turn 2 should pivot to the newly active referent.,current,verbal_deictic,social_gathering,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in social and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-57,Kitchen Blended Shift,Current-context blended scenario in kitchen where Turn 2 should pivot to the newly active referent.,current,blended,home_kitchen,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in kitchen and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-59,Warehouse Room Shift,Prior-context spatial shift scenario in warehouse where Turn 2 should reach back to an earlier referent.,prior,spatial_shift,warehouse,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,text_recall_too_easy,This scenario uses a recognizable prior-context shape in warehouse and captures a real reference-carryover failure mode that a wearable assistant can hit.,"The answer is recoverable as direct Turn 1 text recall, so the context shift adds little real reference-resolution pressure.","This case fits the benchmark theme, but the released wording makes it closer to a short-term memory quiz than a strong situational reference test.",,Keep the scenario and answer keys as-is.
sc-60,Social Room Shift,Prior-context spatial shift scenario in social where Turn 2 should reach back to an earlier referent.,prior,spatial_shift,social_gathering,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,text_recall_too_easy,This scenario uses a recognizable prior-context shape in social and captures a real reference-carryover failure mode that a wearable assistant can hit.,"The answer is recoverable as direct Turn 1 text recall, so the context shift adds little real reference-resolution pressure.","This case fits the benchmark theme, but the released wording makes it closer to a short-term memory quiz than a strong situational reference test.",,Keep the scenario and answer keys as-is.
sc-63,Yard State Change,Prior-context temporal state scenario in yard where Turn 2 should reach back to an earlier referent.,prior,temporal_state,outdoor_yard,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,text_recall_too_easy,This scenario uses a recognizable prior-context shape in yard and captures a real reference-carryover failure mode that a wearable assistant can hit.,"The answer is recoverable as direct Turn 1 text recall, so the context shift adds little real reference-resolution pressure.","This case fits the benchmark theme, but the released wording makes it closer to a short-term memory quiz than a strong situational reference test.",,Keep the scenario and answer keys as-is.
sc-64,Kitchen State Change,Prior-context temporal state scenario in kitchen where Turn 2 should reach back to an earlier referent.,prior,temporal_state,home_kitchen,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,text_recall_too_easy,This scenario uses a recognizable prior-context shape in kitchen and captures a real reference-carryover failure mode that a wearable assistant can hit.,"The answer is recoverable as direct Turn 1 text recall, so the context shift adds little real reference-resolution pressure.","This case fits the benchmark theme, but the released wording makes it closer to a short-term memory quiz than a strong situational reference test.",,Keep the scenario and answer keys as-is.
sc-65,Vehicle Departure Recall,Prior-context object departure scenario in vehicle where Turn 2 should reach back to an earlier referent.,prior,object_departure,vehicle_cabin,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable prior-context shape in vehicle and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-66,Social Departure Recall,Prior-context object departure scenario in social where Turn 2 should reach back to an earlier referent.,prior,object_departure,social_gathering,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,text_recall_too_easy,This scenario uses a recognizable prior-context shape in social and captures a real reference-carryover failure mode that a wearable assistant can hit.,"The answer is recoverable as direct Turn 1 text recall, so the context shift adds little real reference-resolution pressure.","This case fits the benchmark theme, but the released wording makes it closer to a short-term memory quiz than a strong situational reference test.",,Keep the scenario and answer keys as-is.
sc-67,Living Room Departure Recall,Prior-context object departure scenario in living room where Turn 2 should reach back to an earlier referent.,prior,object_departure,home_living,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,text_recall_too_easy,This scenario uses a recognizable prior-context shape in living room and captures a real reference-carryover failure mode that a wearable assistant can hit.,"The answer is recoverable as direct Turn 1 text recall, so the context shift adds little real reference-resolution pressure.","This case fits the benchmark theme, but the released wording makes it closer to a short-term memory quiz than a strong situational reference test.",,Keep the scenario and answer keys as-is.
